name,genre,director,country,year,imdb_url
"23 - Всё не то, чем кажется",Триллер,Ганс-Христиан Шмидт,Германия,1998,https://www.imdb.com/title/tt0126765/
22 пули: Бессмертный,Триллер,Ришар Берри,Франция,2010,https://www.imdb.com/title/tt1167638/
25 ватт,Комедийная драма,Хуан Пабло Ребелья,Уругвай,2001,https://www.imdb.com/title/tt0280381/
24 часа из жизни женщины,Кинокомедия,Нэнси Савока,Соединённые Штаты Америки,1999,https://www.imdb.com/title/tt0138279/
22 минуты,Боевик (киножанр),Василий Сериков,Россия,2014,https://www.imdb.com/title/tt2856896/
22 мили,Боевик (жанр),Питер Берг,Соединённые Штаты Америки,2018,https://www.imdb.com/title/tt4560436/
22 июля,Драма (жанр),Пол Гринграсс,Соединённые Штаты Америки,2018,https://www.imdb.com/title/tt7280898/
21 мост,Драма (жанр),Брайан Кирк,Соединённые Штаты Америки,2019,https://www.imdb.com/title/tt8688634/
21 и больше,Кинокомедия,,Соединённые Штаты Америки,2013,https://www.imdb.com/title/tt1711425/
21 грамм,Драма (жанр),Алехандро Гонсалес Иньярриту,Кинематограф США,2003,https://www.imdb.com/title/tt0315733/
24 часа: Искупление,Боевик (киножанр),Джон Кассар,Южно-Африканская Республика,,https://www.imdb.com/title/tt0813980/
24 часа,Триллер,Луис Мандоки,Соединённые Штаты Америки,2002,https://www.imdb.com/title/tt0280380/
24 недели,Драматический фильм,[d],Германия,,https://www.imdb.com/title/tt5369484/
20 миллионов миль до Земли,Научно-фантастический фильм,Натан Юран,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0050084/
20-е декабря,Исторический фильм,Григорий Никулин,Союз Советских Социалистических Республик,1981,https://www.imdb.com/title/tt0231006/
20 дней в Мариуполе,Документальное кино,Мстислав Чернов,Украина,2023,https://www.imdb.com/title/tt24082438/
20 сигарет,Драма (жанр),Александр Горновский,Россия,2007,https://www.imdb.com/title/tt1179019/
24 кадра,Драматический фильм,Аббас Киаростами,Иран,,https://www.imdb.com/title/tt6777170/
20 000 лье под водой,Драма (жанр),Ричард Флейшер,Соединённые Штаты Америки,1954,https://www.imdb.com/title/tt0046672/
20 000 дней на Земле,Документальный фильм,Айан Форсайт,Великобритания,2014,https://www.imdb.com/title/tt2920540/
21 ночь с Патти,,Арно Ларье,Франция,2015,https://www.imdb.com/title/tt4022440/
18-14,Историческое кино,Андрес Пуустусмаа,Россия,2007,https://www.imdb.com/title/tt1183658/
20 тысяч разновидностей пчёл,Драматический фильм,[d],Испания,,https://www.imdb.com/title/tt21113962/
20 сантиметров,Комедия,Рамон Саласар,Испания,2005,https://www.imdb.com/title/tt0421528/
18-летняя девственница,Комедия,Тамара Олсон,США,2008,https://www.imdb.com/title/tt1294969/
